fund_name,date,nav
HDFC Top 100 Fund - Direct Plan - Growth,14-03-2018,141.36860
HDFC Top 100 Fund - Direct Plan - Growth,13-03-2018,141.35170
HDFC Top 100 Fund - Direct Plan - Growth,12-03-2018,141.27100
HDFC Top 100 Fund - Direct Plan - Growth,09-03-2018,141.09640
HDFC Top 100 Fund - Direct Plan - Growth,08-03-2018,141.08820
HDFC Top 100 Fund - Direct Plan - Growth,07-03-2018,140.98030
HDFC Top 100 Fund - Direct Plan - Growth,06-03-2018,140.77000
HDFC Top 100 Fund - Direct Plan - Growth,05-03-2018,140.72650
HDFC Top 100 Fund - Direct Plan - Growth,01-03-2018,140.62430
HDFC Top 100 Fund - Direct Plan - Growth,28-02-2018,140.64120
HDFC Top 100 Fund - Direct Plan - Growth,27-02-2018,140.64900
HDFC Top 100 Fund - Direct Plan - Growth,26-02-2018,149.99220
HDFC Top 100 Fund - Direct Plan - Growth,23-02-2018,149.94910
HDFC Top 100 Fund - Direct Plan - Growth,22-02-2018,149.81580
HDFC Top 100 Fund - Direct Plan - Growth,21-02-2018,149.93030
HDFC Top 100 Fund - Direct Plan - Growth,20-02-2018,149.96960
HDFC Top 100 Fund - Direct Plan - Growth,16-02-2018,150.00150
HDFC Top 100 Fund - Direct Plan - Growth,15-02-2018,149.97650
HDFC Top 100 Fund - Direct Plan - Growth,14-02-2018,150.07410
HDFC Top 100 Fund - Direct Plan - Growth,12-02-2018,149.99620
HDFC Top 100 Fund - Direct Plan - Growth,09-02-2018,149.91180
HDFC Top 100 Fund - Direct Plan - Growth,08-02-2018,149.89990
HDFC Top 100 Fund - Direct Plan - Growth,07-02-2018,149.75710
HDFC Top 100 Fund - Direct Plan - Growth,06-02-2018,149.61090
HDFC Top 100 Fund - Direct Plan - Growth,05-02-2018,149.54190
HDFC Top 100 Fund - Direct Plan - Growth,02-02-2018,149.47660
HDFC Top 100 Fund - Direct Plan - Growth,01-02-2018,149.43090
HDFC Top 100 Fund - Direct Plan - Growth,31-01-2018,149.73540
HDFC Top 100 Fund - Direct Plan - Growth,30-01-2018,149.69440
HDFC Top 100 Fund - Direct Plan - Growth,29-01-2018,149.72640
HDFC Top 100 Fund - Direct Plan - Growth,25-01-2018,149.74980
HDFC Top 100 Fund - Direct Plan - Growth,24-01-2018,149.78300
HDFC Top 100 Fund - Direct Plan - Growth,23-01-2018,149.80590
HDFC Top 100 Fund - Direct Plan - Growth,22-01-2018,149.69420
HDFC Top 100 Fund - Direct Plan - Growth,19-01-2018,149.62470
HDFC Top 100 Fund - Direct Plan - Growth,18-01-2018,149.60570
HDFC Top 100 Fund - Direct Plan - Growth,17-01-2018,149.65530
HDFC Top 100 Fund - Direct Plan - Growth,16-01-2018,149.44000
HDFC Top 100 Fund - Direct Plan - Growth,15-01-2018,149.60090
HDFC Top 100 Fund - Direct Plan - Growth,12-01-2018,149.48910
HDFC Top 100 Fund - Direct Plan - Growth,11-01-2018,149.47690
HDFC Top 100 Fund - Direct Plan - Growth,10-01-2018,149.49190
HDFC Top 100 Fund - Direct Plan - Growth,09-01-2018,149.63760
HDFC Top 100 Fund - Direct Plan - Growth,08-01-2018,149.66300
HDFC Top 100 Fund - Direct Plan - Growth,05-01-2018,149.61290
HDFC Top 100 Fund - Direct Plan - Growth,04-01-2018,149.45620
HDFC Top 100 Fund - Direct Plan - Growth,03-01-2018,149.50110
HDFC Top 100 Fund - Direct Plan - Growth,02-01-2018,149.47850
HDFC Top 100 Fund - Direct Plan - Growth,01-01-2018,149.46350
HDFC Top 100 Fund - Direct Plan - Growth,29-12-2017,149.45450
HDFC Top 100 Fund - Direct Plan - Growth,28-12-2017,149.11130
HDFC Top 100 Fund - Direct Plan - Growth,27-12-2017,149.31570
HDFC Top 100 Fund - Direct Plan - Growth,26-12-2017,149.28640
HDFC Top 100 Fund - Direct Plan - Growth,22-12-2017,149.27930
HDFC Top 100 Fund - Direct Plan - Growth,21-12-2017,149.36990
HDFC Top 100 Fund - Direct Plan - Growth,20-12-2017,149.44740
HDFC Top 100 Fund - Direct Plan - Growth,19-12-2017,149.55900
HDFC Top 100 Fund - Direct Plan - Growth,18-12-2017,149.52920
HDFC Top 100 Fund - Direct Plan - Growth,15-12-2017,149.48530
HDFC Top 100 Fund - Direct Plan - Growth,14-12-2017,149.50760
HDFC Top 100 Fund - Direct Plan - Growth,13-12-2017,149.49220
HDFC Top 100 Fund - Direct Plan - Growth,12-12-2017,149.54400
HDFC Top 100 Fund - Direct Plan - Growth,11-12-2017,149.59620
HDFC Top 100 Fund - Direct Plan - Growth,08-12-2017,149.67010
HDFC Top 100 Fund - Direct Plan - Growth,07-12-2017,149.66870
HDFC Top 100 Fund - Direct Plan - Growth,06-12-2017,149.66360
HDFC Top 100 Fund - Direct Plan - Growth,05-12-2017,149.60150
HDFC Top 100 Fund - Direct Plan - Growth,04-12-2017,149.57040
HDFC Top 100 Fund - Direct Plan - Growth,30-11-2017,149.49130
HDFC Top 100 Fund - Direct Plan - Growth,29-11-2017,149.47370
HDFC Top 100 Fund - Direct Plan - Growth,28-11-2017,149.43710
HDFC Top 100 Fund - Direct Plan - Growth,27-11-2017,149.41310
HDFC Top 100 Fund - Direct Plan - Growth,24-11-2017,149.37080
HDFC Top 100 Fund - Direct Plan - Growth,23-11-2017,149.35810
HDFC Top 100 Fund - Direct Plan - Growth,22-11-2017,149.42990
HDFC Top 100 Fund - Direct Plan - Growth,21-11-2017,149.57410
HDFC Top 100 Fund - Direct Plan - Growth,20-11-2017,149.56770
HDFC Top 100 Fund - Direct Plan - Growth,17-11-2017,149.22270
HDFC Top 100 Fund - Direct Plan - Growth,16-11-2017,149.13550
HDFC Top 100 Fund - Direct Plan - Growth,15-11-2017,149.26530
HDFC Top 100 Fund - Direct Plan - Growth,14-11-2017,149.20090
HDFC Top 100 Fund - Direct Plan - Growth,13-11-2017,149.39460
HDFC Top 100 Fund - Direct Plan - Growth,10-11-2017,149.34390
HDFC Top 100 Fund - Direct Plan - Growth,09-11-2017,149.33500
HDFC Top 100 Fund - Direct Plan - Growth,08-11-2017,149.29640
HDFC Top 100 Fund - Direct Plan - Growth,07-11-2017,149.28450
HDFC Top 100 Fund - Direct Plan - Growth,06-11-2017,149.33440
HDFC Top 100 Fund - Direct Plan - Growth,03-11-2017,149.29350
HDFC Top 100 Fund - Direct Plan - Growth,02-11-2017,149.24230
HDFC Top 100 Fund - Direct Plan - Growth,01-11-2017,149.18720
HDFC Top 100 Fund - Direct Plan - Growth,31-10-2017,149.16600
HDFC Top 100 Fund - Direct Plan - Growth,30-10-2017,149.10950
HDFC Top 100 Fund - Direct Plan - Growth,27-10-2017,149.11600
HDFC Top 100 Fund - Direct Plan - Growth,26-10-2017,149.10890
HDFC Top 100 Fund - Direct Plan - Growth,25-10-2017,149.07570
HDFC Top 100 Fund - Direct Plan - Growth,24-10-2017,149.08720
HDFC Top 100 Fund - Direct Plan - Growth,23-10-2017,149.02990
HDFC Top 100 Fund - Direct Plan - Growth,18-10-2017,148.99330
HDFC Top 100 Fund - Direct Plan - Growth,17-10-2017,148.97250
HDFC Top 100 Fund - Direct Plan - Growth,16-10-2017,148.95570
HDFC Top 100 Fund - Direct Plan - Growth,13-10-2017,148.84950
HDFC Top 100 Fund - Direct Plan - Growth,12-10-2017,148.72480
HDFC Top 100 Fund - Direct Plan - Growth,11-10-2017,148.69580
HDFC Top 100 Fund - Direct Plan - Growth,10-10-2017,148.65060
HDFC Top 100 Fund - Direct Plan - Growth,09-10-2017,148.61130
HDFC Top 100 Fund - Direct Plan - Growth,06-10-2017,148.57440
HDFC Top 100 Fund - Direct Plan - Growth,05-10-2017,148.57830
HDFC Top 100 Fund - Direct Plan - Growth,04-10-2017,148.63510
HDFC Top 100 Fund - Direct Plan - Growth,03-10-2017,148.72050
HDFC Top 100 Fund - Direct Plan - Growth,29-09-2017,148.49100
HDFC Top 100 Fund - Direct Plan - Growth,28-09-2017,148.48350
HDFC Top 100 Fund - Direct Plan - Growth,27-09-2017,148.37670
HDFC Top 100 Fund - Direct Plan - Growth,26-09-2017,148.36200
HDFC Top 100 Fund - Direct Plan - Growth,25-09-2017,148.43710
HDFC Top 100 Fund - Direct Plan - Growth,22-09-2017,148.26490
HDFC Top 100 Fund - Direct Plan - Growth,21-09-2017,148.28420
HDFC Top 100 Fund - Direct Plan - Growth,20-09-2017,148.53430
HDFC Top 100 Fund - Direct Plan - Growth,19-09-2017,148.48970
HDFC Top 100 Fund - Direct Plan - Growth,18-09-2017,148.44660
HDFC Top 100 Fund - Direct Plan - Growth,15-09-2017,148.43650
HDFC Top 100 Fund - Direct Plan - Growth,14-09-2017,148.46310
HDFC Top 100 Fund - Direct Plan - Growth,13-09-2017,148.44460
HDFC Top 100 Fund - Direct Plan - Growth,12-09-2017,148.48000
HDFC Top 100 Fund - Direct Plan - Growth,11-09-2017,148.51330
HDFC Top 100 Fund - Direct Plan - Growth,08-09-2017,148.47060
HDFC Top 100 Fund - Direct Plan - Growth,07-09-2017,148.48210
HDFC Top 100 Fund - Direct Plan - Growth,06-09-2017,148.49730
